model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
ElevatorModel,bes,loops,0,2,4,0.5187795162200928,killed_mutant,0,1,718b9030
ElevatorModel,bes,loops,1,2,4,0.5693490505218506,killed_mutant,0,1,718b9030
ElevatorModel,bes,loops,3,2,4,0.5191154479980469,killed_mutant,0,1,718b9030
ElevatorModel,bes,loops,22,2,4,0.5162277221679688,killed_mutant,0,1,718b9030
ElevatorModel,bes,loops,23,2,1,0.5169475078582764,killed_mutant,0,1,718b9030
ElevatorModel,bes,loops,24,2,4,0.5181355476379395,killed_mutant,0,1,718b9030
ElevatorModel,bes,loops,25,2,5,0.5193192958831787,killed_mutant,0,1,718b9030
ElevatorModel,bes,loops,27,7,3,0.517141580581665,killed_mutant,0,1,1ae33039
ElevatorModel,bes,loops,28,7,190,0.7694253921508789,killed_mutant,0,1,1ae33039
