model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
JavaNioServerSocket3,bes,no_loops,0,1,1,0.4663512706756592,ok,0,0,4acea9b
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5667438507080078,ok,0,0,2c160dd3
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5166471004486084,ok,0,0,26c3a6de
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5164225101470947,ok,0,0,2bfc5a0a
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5664293766021729,ok,0,0,37d59185
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5166575908660889,ok,0,0,95626e6
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5166358947753906,ok,0,0,6b2b50dc
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5165319442749023,ok,0,0,df0fb96
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5165481567382812,ok,0,0,3a44ef6c
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5165524482727051,ok,0,0,45b28b6e
JavaNioServerSocket3,bes,no_loops,0,1,1,0.516298770904541,ok,0,0,1c8638f7
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5165905952453613,ok,0,0,7bb622f3
JavaNioServerSocket3,bes,no_loops,0,1,1,0.516592264175415,ok,0,0,27127b1c
JavaNioServerSocket3,bes,no_loops,0,1,1,0.4663825035095215,ok,0,0,711577a0
JavaNioServerSocket3,bes,no_loops,0,1,1,0.4664173126220703,ok,0,0,69cdba50
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5163283348083496,ok,0,0,3f333fc4
JavaNioServerSocket3,bes,no_loops,0,1,1,0.4663715362548828,ok,0,0,23f397c7
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5668900012969971,ok,0,0,3439c321
JavaNioServerSocket3,bes,no_loops,0,1,1,0.566948652267456,ok,0,0,44394b7a
JavaNioServerSocket3,bes,no_loops,0,1,1,0.516533613204956,ok,0,0,38e924fe
JavaNioServerSocket3,bes,no_loops,0,1,1,0.4665999412536621,ok,0,0,7e523b41
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5165047645568848,ok,0,0,1bc2337b
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5166988372802734,ok,0,0,3ff06fc7
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5166478157043457,ok,0,0,6220423e
JavaNioServerSocket3,bes,no_loops,0,1,1,0.4665689468383789,ok,0,0,51a3d720
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5666654109954834,ok,0,0,6ea2185b
JavaNioServerSocket3,bes,no_loops,0,1,1,0.516340970993042,ok,0,0,4275ca1f
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5165050029754639,ok,0,0,47a93d2b
JavaNioServerSocket3,bes,no_loops,0,1,1,0.516181468963623,ok,0,0,60b0ee3e
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5164871215820312,ok,0,0,3852d7c4
JavaNioServerSocket3,bes,no_loops,0,1,1,0.46630358695983887,ok,0,0,5534cbf3
JavaNioServerSocket3,bes,no_loops,0,1,1,0.4662480354309082,ok,0,0,7070e035
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5163617134094238,ok,0,0,5223f92a
JavaNioServerSocket3,bes,no_loops,0,1,1,0.4665830135345459,ok,0,0,420bf4a9
JavaNioServerSocket3,bes,no_loops,0,1,1,0.5165221691131592,ok,0,0,4aca2e80
